term,definition
RP,Réduction de peine.
RPD,Système d’Acquisition Dynamique
RPI,Regroupements pédagogiques intercommunaux
RPS,Relations avec les Professionnels de Santé
RPS,Risques Psycho-Sociaux
RPS,Rémunération publique des stagiaires
RQTH,Reconnaissance de la Qualité de Travailleur Handicapé
RRC,Réseau Régional de Cancérologie
RRE,Réseau Réussite Éducative (anciennement ZEP)
RRF,Rééducation et Réadaptation Fonctionnelle
RRN,Réseau Routier National
RRS,Réseau De Réussite Scolaire
RS,Référent Sûreté
RSA,Revenu de solidarité active
RSD,Règlement sanitaire départemental.
RSI,Régime social des indépendants
RSP,Rémunération des stagiaires de la formation professionnelle
RSP,Réduction supplémentaire de peine.
RTE,Réseau de transport d'électricité
RTES,Réseau Des Territoires Pour L’economie Solidaire
RTLN,Réunion des théâtres lyriques nationaux
RTM,Restauration des terrains en montagne
RTN,Reprise de Travail Notifiée
RTRS,Réseau Thématique de Recherche et de Soins
RTT,Réduction du temps de travail
RU,Rénovation urbaine.
RUM,Résumé d’Unité Médicale
RUP,Régions ultrapériphériques d'Europe
RUPI,Référent Unique Parcours D’insertion
RÉSEAU IMPEL,Réseau de l'union européenne pour l'application et le respect du droit de l'environnement
SA,Société anonyme
SA,Syndrome D’asperger
SA2E,Service D’accompagnement Éducatif Externalisé
SAAAIS,Service d’aide à l’acquisition de l’autonomie et à l’intégration scolaire ( pour déficients visuels )
SAAD,Service annexe d'amortissement de la dette
SAAD,Service d’Aide A Domicile
SACE,Secrétaire Administratif de Classe Exceptionnelle
SACEM,"Société des auteurs, compositeurs et éditeurs de musique"
SACI,Société anonyme de crédit immobilier
SACICAP,Société anonyme coopérative d'intérêt collectif pour l'accession à la propriété
SACN,Service de l'audit central national
SACR,Schéma d'analyse de couverture des risques
SACS,Secrétaire Administratif de Classe Supérieure
SAD,Soins à domicile
SAD,Système d’Acquisition Dynamique
SADJAV,Service de l’accès au droit et à la justice et de l’aide aux victimes
SAE,Service des Achats de l'État
SAE,Société anonyme européenne.
SAE,Stage d'accès à l'entreprise
SAE,Statistique annuelle sur les établissements de santé
SAEE,Service D’accompagnement Éducatif Externalisé
SAELSI,Service de l'Achat des Équipements et de la Logistique de la Sécurité Intérieure
SAEM,Société anonyme d'économie mixte.
SAEMF,Service d’Action Educative en Milieu Familial
SAEMO,Service d’Assistante Educative en Milieu Ouvert
SAEPA,Syndicat d'adduction d'eau potable et d'assainissement.
SAF,Service D’accompagnement Familial
SAFE,Service d’Accompagnement Familial et Educatif
SAFEP,Service d’accompagnement familial et d’éducation précoce
SAFER,Sociétés d'aménagement foncier et d'établissement rural
SAFI,Service des affaires financières et immobilières
SAFI1,Sous-direction des affaires budgétaires et de la performance
SAFI1A,Bureau Synthèse budgétaire du périmètre économie et engagements financiers - SAFI1A
SAFI1B,Bureau Synthèse budgétaire du périmètre gestion des ressources humaines et des finances publiques
SAFI1C,Bureau Performance et contrôle de gestion - SAFI1C
SAFI2,Sous-direction de la gestion financière et de la maîtrise des risques
SAFI2A,Centre de prestations financières
SAFI2B,Bureau Organisation et système d'information financiers
SAFI2C,Bureau Maîtrise des risques et audit
SAG,Section Aérienne de Gendarmerie
SAGE,Schéma d'aménagement de gestion des eaux
SAGE,Schéma d'aménagement et de gestion des eaux.
SAGEOSS,Système Aéroportuaire de GEstion de l'information Opérationnelle de Sécurité et de Sûreté
SAIA,Service Académique d’Inspection de l’Apprentissage
SAIF,Sociétés agricoles d'investissement foncier
SAIO,Service Académique d’Information et d’Orientation
SALT,Strategic arms limitation treaty (Traité de limitation des armes stratégiques)
SALVAC,Système d'Analyse des Liens de la Violence Associée aux Crimes
SAM,Seconds À Marcher
SAMP,"Section de l'Armement, des Munitions et de la Pyrotechnie"
SAMSAH,Service d’Accompagnement Médico-Social pour Adultes Handicapés
SAMU,Service d'aide médicale urgente
SAN,Syndicat d’agglomérations nouvelles
SAO,Service accueil et orientation
SAP,Service Aux Personnes
SAP,Service Administration du Personnel
SAPAD,Service d’Accompagnement Pédagogique à Domicile
SAPMN,Service D’adaptation Progressive En Milieu Naturel
SARL,Société à responsabilité limitée
SARVI,Service d’aide au recouvrement des victimes d’infractions.
SAS,Service Action Sociale
SAS,Service d’accompagnement à la vie sociale
SASE,Service d’aide sociale à l’enfance
SASU,Secrétaire d’Administration Scolaire et Universitaire
SAT,Service de l'animation territoriale de la politique du travail et de l'action de l'inspection du travail
SATESE,Services d'assistance technique pour l'exploitation des stations d'épuration
SATT,Section Aménagée du Temps de Travail
SAU,Service d’accueil d’urgence
SAU,Superficie agricole utilisée.
SAUO,Service d’Accueil des Urgences et d’Orientation
SAVS,Service d’Accompagnement à la Vie Sociale
SBA,Small Business Act
SBDU,Service des biens à double usage
SCA,Sociétés coopératives agricoles
SCA,Syndicats communautaires d'aménagement
SCA,Direction centrale du service du commissariat des armées
SCAFR,Société centrale d'aménagement foncier rural.
SCAM Satory,Service central des achats de la maintenance
SCBCM,Service de contrôle budgétaire et comptable ministériel
SCBCM,Service de contrôle budgétaire et comptable ministériel Travail et emploi
SCE,Société coopérative européenne.
SCEREN CNDP,Musée national de l'éducation - Centre de ressources et de recherche
SCET,Société centrale pour l'équipement du territoire.
SCHS,Services communaux d'hygiène et de santé
SCI,Sociétés civiles immobilières
SCIC,Société centrale immobilière de la Caisse des dépôts
SCIC,Sociétés Coopératives D’intérêt Collectif
SCL,Service commun des laboratoires
SCN,Service à Compétence Nationale
SCOP,Sociétés coopératives ouvrières de production
SCOP,Surface en céréales oléagineuses et protéagineuses.
SCOT,Schéma de cohérence territoriale
SCPC,Service Central de Prévention de la Corruption
SCPC,Service de consultation du plan cadastral
SCPI,Société civile de placement immobilier
SCPRI,Service central de protection contre les rayonnements ionisants
SCR,Service central des rapatriés
SCRTA,Service Centrale des Réseaux et des Technologies Avancées
SCS,Section Centrale des Sources
SCSESR,Service de la coordination des stratégies de l'enseignement supérieur et de la recherche
SCT,Schéma de cohérence territoriale
SD,Schéma directeur.
SDA,Service départemental de l'architecture
SDACR,Schéma départemental d'analyse et de couverture des risques.
SDAGE,Schéma directeur d'aménagement et de gestion des eaux
SDAGV,Schéma départemental d'accueil des gens du voyage.
SDAO,Sous-Direction de l'Anticipation Opérationnelle
SDAP,Service Départemental de l'Architecture et du Patrimoine
SDAPL,Section départementale des aides publiques au logement
SDAS,Service départemental d’aide sociale
SDAT,Sous-direction antiterroriste
SDAU,Schéma directeur d'aménagement et d'urbanisme
SDC,Schéma de développement commercial.
SDC,Schéma départemental des carrières
SDCI,Schéma départemental de coopération intercommunale
SDDOP,Sous-Direction de la Défense et de l'Ordre Public
SDDS,Schéma directeur départemental des structures
SDEC,Schéma de développement de l'espace communautaire.
SDECE,Service de documentation extérieure et de contre-espionnage
SDES,Service de la donnée et des études statistiques
SDF,Sans domicile fixe
SDFE,Service des droits des femmes et de l’égalité
SDGP,Sous-Direction de la Gestion des Personnels
SDIG,Sous-Direction de l'Information Générale
SDIS,Service départemental d'incendie et de secours
SDIS,Service Départemental Incendie et Secours
SDL,Schéma directeur local
SDLC,Sous-direction de lutte contre la cybercriminalité
SDOE,Sous-Direction de l'Organisation et des Effectifs
SDOSMSPA,Schème Départemental d’Organisation sociale et Médico-Sociale pour les Personnes Âgées
SDOSMSPH,Schéma Départemental d’Organisation sociale et Médico-Sociale pour les Personnes Handicapées
SDP,Station debout pénible
SDPJ,Sous-Direction de la Police Judiciaire
SDR,Société de développement régional
SDRIF,Schéma directeur de la région Ile-de-France
SDRN,Schéma directeur des routes nationales.
SDRT,Services Départementaux de Renseignement Territorial
SDSE,Sous-direction de la statistique et des études
SDSPSR,Sous-Direction de la Sécurité Publique et de la Sécurité Routière
SDTCR,Section Déplacements Temporaires et Changements de Résidence
SE,Surveillant d’Externat
SEA,Soudure électrique à l’arc
SEAT,Service éducatif auprès du tribunal
SEATER,Service d'étude et d'aménagement touristique de l'espace rural
SEATM,Service d'étude et d'aménagement touristique de la montagne
SEBC,Système européen de banque centrale
SECAE,Société d'exploitation des cinémas d'art et d'essai
SEDAP,Société D’entraide Et D’action Psychologique
SEES,Service d’Éducation Et D’enseignement Spécialisé
SEFA,Société d'épargne foncière agricole
SEFRANE,Service pour l'emploi des Français à l'étranger
SEGPA,Section d’Enseignement Général et Professionnel Adapté
SEHA,Section d’Éducation Pour Enfants Avec Handicap Associé
SEITA,Société d'exploitation industrielle des tabacs et allumettes
SEJE,Soutien à l'emploi des jeunes en entreprise
SEL,Système d’échange local
SEM,Société d'économie mixte
SEMA,Service des eaux et des milieux aquatiques.
SEMCA,Société d'économie mixte concessionnaire d'autoroutes
SENR,Schéma des espaces naturels et ruraux.
SEP,Synthèse D’évaluation Et De Projet
SEP,Service de l'environnement professionnel
SEP-RIEP,Service de l'emploi pénitentiaire - Régie industrielle des établissements pénitentiaires
SEP2D,Bureau de la documentation et des archives
SEPA,Single Euro Payments Area (Espace unique de paiement en euros)
SEPAD,Soutien Et Protection à Domicile
SEPIA,Secteur d’expérimentation sur l’habitat des personnes âgées
SEPT,Société européenne de programmes de télévision
SEREBC,"Service de l'exécution financière, de la gestion logistique des biens et de la comptabilité"
SERMO,service d’Éducation et Rééducation en Milieu Ouvert
SERNOC,SERvice NOCturne
SES,Section d’Education SpécialiséeAncienne dénomination des actuelles SEGPA
SESAD,Service Educatif De Soin A Domicile
SESAME,Service de soutien et d'accompagnement sur les marchés extérieurs
SESI,"Service des statistiques, des études et des systèmes d’information (ministère des Affaires sociales)"
SESSAD,Service d’Education et de Soins Spécialisés A Domicile
SESSD,Service d’éducation et de soins spécialisés à domicile ( pour handicapés moteurs )
SETRA,Service d'études techniques des routes et autoroutes.
SF,Sage-femme
SFAP,Société Française d’Accompagnement et de soins Palliatifs
SFEE,"Service de la forêt, de l'eau, et de l'environnement"
SFEN,Société française d'énergie nucléaire
SFETD,Société Française d’Etude et de Traitement de la Douleur
SFGG,Société Française de Gériatrie et de Gérontologie
SFH,Société Française d’Hématologie
SFLS,Société Française de Lutte contre le SIDA
SFP,Société française de production et création audiovisuelle
SFR,Société de financement régional
SFRM,Société française des risques majeurs.
SFSP,Société Française de Santé Publique
SFT,Supplément familial de traitement
SG,Secrétaire Général·e
SG,Sécrétariat général
SG,Surveillance Générale
SGA,Secrétariat général pour l'administration
SGAE,Secrétariat général des Affaires européennes
SGAP,Secrétariat Général pour L'Administration de la Police
SGAPA,Section Gestion Automatisée Personnels Administration
SGAR,Secrétariat général pour les affaires régionales
SGBD,Système de Gestion de Base de Données
SGCISN,Secrétariat général du comité interministériel de la sécurité nucléaire
SGCIV,Secrétariat général du Comité interministériel des villes (ex DIV)
SGDN,Secrétariat général de la défense nationale
SGDSN,Secrétariat général de la défense et de la sécurité nationale
SGFGAS,Société de Gestion du Fonds de Garantie de l’Accession Sociale
SGG,Secrétariat général du gouvernement
SGMAP,Secrétariat Général pour la Modernisation de l'action Publique.
SGMCAS,Secrétariat général des ministères chargés des affaires sociales
SHO,Surface de plancher hors œuvre.
SHOB,Surface hors œuvre brute.
SHOM,Service hydrographique et océanographique de la marine
SHON,Surface hors œuvre nette.
SI,Système d’Information
SI-DEP,Système d’information de dépistage
SIA,Syndicat intercommunal d'assainissement.
SIAD,Soins Infirmiers À Domicile
SIADE,Système Interne d'Api De l'État
SIAE,Structures D’insertion Par L’activité Economique
SIAO,Service Intégré D’accueil Et d’Orientation (voir aussi PDAHI Dispositif faisant parti du 115)
SIASP,Système d'information sur les agents des services publics
SIC,Site d'intérêt communautaire
SIC,Systèmes d'Information et de Communication
SICA,Société d'intérêt collectif agricole
SICAV,Société d'investissement à capital variable
SICLONE,Système d’Information sur la Construction de Logements et Locaux Neufs
SICOF,Service D’intervention Et De Consultation Familiale
SICOMI,Société immobilière pour le commerce et l'industrie
SICOP,Service d'information et de communication de la police nationale
SICTIAM,Service Informatique des Collectivités Territoriales
